season,name,position,team,avg_PPA_all,avg_PPA_pass,avg_PPA_rush,total_PPA_all
2013,Johnny Jackson,WR,Arizona,0.852,0.852,,10.22
2013,Eric Thomas,WR,Troy,1.065,1.116,-0.4,62.824
2013,Jon Lee,RB,Air Force,0.225,-0.855,0.259,15.1
2013,Jamar Brown,WR,Indiana State,0.718,0.718,,5.028
2013,Tyron Harris,WR,North Carolina Central,0.733,0.733,,0.733
2013,Chris Williams,WR,Troy,0.836,0.869,-0.1,25.091
2013,Mike Naples,TE,Boston College,1.223,1.223,,11.003
2013,Cody Clay,TE,West Virginia,0.871,0.871,,6.965
2013,Brandon Wimberly,WR,Nevada,0.849,0.866,-0.833,81.467
2013,Kaneakua Friel,TE,BYU,1.087,1.087,,11.952
2013,Jay Jones,WR,Eastern Michigan,0.702,0.702,,18.954
2013,Curt Phillips,QB,Wisconsin,-0.561,-0.694,0.015,-8.971
2013,Brendon Kay,QB,Cincinnati,0.386,0.375,0.48,150.589
2013,Skyler Ridley,WR,BYU,1.069,1.069,,38.494
2013,Kye Staley,FB,Oklahoma State,0.06,,0.06,0.42
2013,Michael Alisa,RB,BYU,-0.109,,-0.109,-3.157
2013,Jefferson Court,TE,Utah State,0.721,0.721,,0.721
2013,Iona Pritchard,RB,BYU,-0.078,0.169,-0.447,-0.389
2013,Christian Stewart,QB,BYU,-0.334,-0.334,,-0.668
2013,D.J. Coles,WR,Virginia Tech,1.317,1.483,-0.262,27.654
2013,Eddie Poole,WR,Bethune-Cookman,1.423,1.423,,5.691
2013,Jerry Harris,WR,Central Michigan,0.621,0.621,,1.864
2013,Allen Muse,WR,Arkansas State,1.008,1.008,,27.224
2013,Gavin Ellis,TE,Jacksonville State,0.844,0.844,,0.844
2013,Felton Payton,WR,Troy,0.45,0.45,,7.643
2013,Richie Casey,WR,Louisiana Tech,0.87,0.87,,29.596
2013,Deandre Cooper,WR,Prairie View A&M,0.759,0.759,,6.07
2013,Bo Bolen,WR,Weber State,0.057,1.433,-0.249,0.626
2013,Shane Savage,WR,Richmond,0.83,0.83,,5.81
2013,Garrett Gilbert,QB,SMU,0.231,0.206,0.479,119.244
2013,Aaron Murray,QB,Georgia,0.336,0.336,0.34,118.289
2013,Jaamal Berry,RB,Murray State,-0.075,-0.004,-0.095,-1.729
2013,AJ McCarron,QB,Alabama,0.295,0.291,0.369,94.326
2013,Tajh Boyd,QB,Clemson,0.262,0.287,0.181,126.105
2013,Je'Ron Stokes,WR,Norfolk State,0.059,0.059,,0.118
2013,Bryn Renner,QB,North Carolina,0.278,0.326,-0.102,64.547
2013,Logan Thomas,QB,Virginia Tech,0.231,0.311,-0.026,111.505
2013,Zach Mettenberger,QB,LSU,0.52,0.554,-0.177,146.64
2013,Daniel Jenkins,RB,Arizona,0.136,0.192,0.129,9.769
2013,Kylan Butler,RB,Arizona,0.092,,0.092,0.368
2013,Terrence Miller,WR,Arizona,0.903,0.903,,35.233
2013,Chris Coyle,TE,Arizona State,0.893,0.893,,24.992
2013,Jeremy Moore,WR,Savannah St,-0.168,-0.168,,-0.503
2013,Nathan Scheelhaase,QB,Illinois,0.247,0.244,0.258,115.645
2013,Steve Hull,WR,Illinois,1.205,1.205,,67.492
2013,Jordan Cotton,WR,Iowa,0.206,0.782,-0.658,1.029
2013,Mike Trumpy,RB,Northwestern,0.004,0.569,-0.074,0.439
2013,Mike Jensen,WR,Northwestern,1.154,1.154,,8.081
2013,De'Von Flournoy,WR,USC,1.164,1.164,,10.474
2013,Damien Thigpen,RB,UCLA,-0.139,0.456,-0.244,-2.783
2013,Jerry Rice Jr.,WR,UNLV,0.725,0.725,,7.254
2013,David Fales,QB,San José State,0.346,0.336,0.52,154.326
2013,Stephen Jeffers,TE,Nevada,0.013,0.013,,0.013
2013,Aaron Bradley,WR,Nevada,1.028,1.028,,40.106
2013,David Fisher,QB,Kent State,0.23,-0.011,0.94,13.587
2013,Joseph Huber,WR,Nevada,0.506,0.506,,1.012
2013,Tavarres Jefferson,WR,Middle Tennessee,0.947,0.947,,39.777
2013,William Pratcher,RB,Middle Tennessee,-0.037,,-0.037,-0.704
2013,Clark Evans,TE,Hawai'i,0.523,0.523,,22.509
2013,Scott Fernandez,TE,Colorado,0.971,0.971,,5.828
2013,Will Jefferson Jr.,WR,Northern Colorado,0.491,0.491,,2.947
2013,Jarrod Darden,WR,Wyoming,1.058,1.058,,7.403
2013,Sterlin Phifer,RB,Towson,-0.147,,-0.147,-1.029
2013,Rolandan Finch,RB,Norfolk State,0.081,0.904,-0.057,2.821
2013,Jake Sinkovec,TE,Boston College,0.593,0.593,,6.525
2013,James White,RB,Iowa State,0.199,0.727,0.063,7.758
2013,Jeff Woody,RB,Iowa State,0.1,,0.1,2.504
2013,Beau Blankenship,RB,Ohio,-0.095,-0.167,-0.089,-20.696
2013,Glasco Martin,RB,Baylor,0.089,2.185,0.071,10.188
2013,Jerod Monk,TE,Baylor,1.648,1.648,,3.297
2013,Bryce Petty,QB,Baylor,0.308,0.348,0.07,132.983
2013,Tevin Reese,WR,Baylor,1.028,1.028,,32.888
2013,Christian Matthews,WR,Kansas,0.085,0.235,-0.44,1.525
2013,Ted Bolser,TE,Indiana,0.697,0.697,,20.897
2013,Duwyce Wilson,WR,Indiana,1.317,1.317,,19.759
2013,C.J. Brown,QB,Maryland,0.196,0.219,0.134,70.673
2013,Dave Stinebaugh,TE,Maryland,0.586,0.586,,7.62
2013,Cory White,TE,Florida International,1.085,1.085,,1.085
2013,Jeremy Gallon,WR,Michigan,1.068,1.123,-0.461,92.933
2013,Chandler Jones,WR,San José State,0.889,0.959,-0.311,64.932
2013,Billy Ray Stutzmann,WR,Hawai'i,0.278,0.278,,6.95
2013,Travis Van Leeuwen,WR,Utah State,0.819,0.819,,47.483
2013,Travis Reynolds,WR,Utah State,1.083,1.126,-1.067,55.211
2013,D.J. Tialavea,TE,Utah State,0.061,0.061,,0.916
2013,Jeff Manning,QB,Utah State,-0.787,,-0.787,-2.362
2013,Corey Robinson,QB,Troy,0.296,0.319,-0.235,113.675
2013,Derek Thompson,QB,North Texas,0.266,0.283,0.145,103.187
2013,Daniel Prior,TE,North Texas,-0.246,0.065,-0.298,-1.721
2013,Brian Fields,RB,Western Michigan,0.026,0.305,-0.009,4.233
2013,Antoin Scriven,RB,Western Michigan,0.43,0.667,0.379,7.304
2013,Clark Mussman,TE,Western Michigan,0.543,0.543,,11.949
2013,Josh Schaffer,WR,Western Michigan,0.765,0.765,,16.058
2013,Demarcus Rogers,RB,New Mexico,-0.105,,-0.105,-1.152
2013,Kasey Carrier,RB,New Mexico,0.124,0.344,0.118,20.091
2013,Jake Bernards,QB,San Diego State,-1.159,-1.159,,-1.159
2013,Colin Lockett,WR,San Diego State,0.853,0.87,-0.055,46.061
2013,Chad Young,FB,San Diego State,0.115,-0.113,0.331,4.254
2013,Dylan Denso,WR,San Diego State,1.073,1.073,,20.385
2013,Jyruss Edwards,RB,UL Monroe,-0.069,-0.235,-0.047,-7.63
2013,Kolton Browning,QB,UL Monroe,0.165,0.193,0.057,57.211
2013,Monterrell Washington,RB,UL Monroe,-0.188,-0.162,-0.196,-4.706
2013,Tavarese Maye,WR,UL Monroe,0.653,0.686,-0.703,27.419
2013,Casey Pachall,QB,TCU,0.038,0.02,0.233,9.63
2013,Jacob Maxwell,TE,Louisiana,1.233,1.233,,12.329
2013,Ian Thompson,TE,Louisiana,0.251,0.251,,2.514
2013,Caleb Herring,QB,UNLV,0.197,0.201,0.179,92.75
2013,Marcus Sullivan,WR,UNLV,0.857,1.006,-0.484,42.861
2013,Rockey Vann,WR,Florida International,1.262,1.262,,10.093
2013,Jairus Williams,WR,Florida International,0.484,0.484,,0.969
